id,number_of_epochs,model,architecture,object,optimizer,loss,learning_rate,sequence_len,number_of_layers,test_r2
74,200,Generation,FEEDFORWARD,solar_30k,Adam,MAPE,0.001,1,4,0.0875616
74,400,Generation,FEEDFORWARD,solar_30k,Adam,MAPE,0.001,1,4,0.0581297
79,50,Generation,LSTM,solar_30k,Adam,MAPE,0.001,12,2,-0.444038
79,100,Generation,LSTM,solar_30k,Adam,MAPE,0.001,12,2,-0.44231
79,200,Generation,LSTM,solar_30k,Adam,MAPE,0.001,12,2,-0.441057
79,400,Generation,LSTM,solar_30k,Adam,MAPE,0.001,12,2,-0.442664
80,50,Generation,LSTM,solar_30k,Adam,MAPE,0.001,12,4,-0.442539
80,100,Generation,LSTM,solar_30k,Adam,MAPE,0.001,12,4,-0.442415
80,200,Generation,LSTM,solar_30k,Adam,MAPE,0.001,12,4,-0.442448
80,400,Generation,LSTM,solar_30k,Adam,MAPE,0.001,12,4,-0.442816
81,50,Generation,LSTM,solar_30k,Adam,MAPE,0.001,24,2,-0.444491
81,100,Generation,LSTM,solar_30k,Adam,MAPE,0.001,24,2,-0.441179
81,200,Generation,LSTM,solar_30k,Adam,MAPE,0.001,24,2,-0.441887
81,400,Generation,LSTM,solar_30k,Adam,MAPE,0.001,24,2,-0.442332
82,50,Generation,LSTM,solar_30k,Adam,MAPE,0.001,24,4,-0.442509
82,100,Generation,LSTM,solar_30k,Adam,MAPE,0.001,24,4,-0.442027
82,200,Generation,LSTM,solar_30k,Adam,MAPE,0.001,24,4,-0.444251
82,400,Generation,LSTM,solar_30k,Adam,MAPE,0.001,24,4,-0.44312
83,50,Generation,LSTM,solar_30k,Adam,MAPE,0.001,36,2,-0.436203
83,100,Generation,LSTM,solar_30k,Adam,MAPE,0.001,36,2,-0.445313
83,200,Generation,LSTM,solar_30k,Adam,MAPE,0.001,36,2,-0.442636
83,400,Generation,LSTM,solar_30k,Adam,MAPE,0.001,36,2,-0.442736
84,50,Generation,LSTM,solar_30k,Adam,MAPE,0.001,36,4,-0.442484
84,100,Generation,LSTM,solar_30k,Adam,MAPE,0.001,36,4,-0.443011
84,200,Generation,LSTM,solar_30k,Adam,MAPE,0.001,36,4,-0.441587
84,400,Generation,LSTM,solar_30k,Adam,MAPE,0.001,36,4,-0.443003
85,50,Generation,GRU,solar_30k,Adam,MAPE,0.001,12,2,-0.415621
85,100,Generation,GRU,solar_30k,Adam,MAPE,0.001,12,2,-0.439975
85,200,Generation,GRU,solar_30k,Adam,MAPE,0.001,12,2,-0.43162
85,400,Generation,GRU,solar_30k,Adam,MAPE,0.001,12,2,-0.442565
86,50,Generation,GRU,solar_30k,Adam,MAPE,0.001,12,4,-0.443409
86,100,Generation,GRU,solar_30k,Adam,MAPE,0.001,12,4,-0.443366
86,200,Generation,GRU,solar_30k,Adam,MAPE,0.001,12,4,-0.442608
86,400,Generation,GRU,solar_30k,Adam,MAPE,0.001,12,4,-0.442456
87,50,Generation,GRU,solar_30k,Adam,MAPE,0.001,24,2,-0.446782
87,100,Generation,GRU,solar_30k,Adam,MAPE,0.001,24,2,-0.439854
87,200,Generation,GRU,solar_30k,Adam,MAPE,0.001,24,2,-0.443122
87,400,Generation,GRU,solar_30k,Adam,MAPE,0.001,24,2,-0.443485
88,50,Generation,GRU,solar_30k,Adam,MAPE,0.001,24,4,-0.436331
88,100,Generation,GRU,solar_30k,Adam,MAPE,0.001,24,4,-0.440681
88,200,Generation,GRU,solar_30k,Adam,MAPE,0.001,24,4,-0.442691
88,400,Generation,GRU,solar_30k,Adam,MAPE,0.001,24,4,-0.442388
89,50,Generation,GRU,solar_30k,Adam,MAPE,0.001,36,2,-0.426819
89,100,Generation,GRU,solar_30k,Adam,MAPE,0.001,36,2,-0.445848
89,200,Generation,GRU,solar_30k,Adam,MAPE,0.001,36,2,-0.447466
